visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} bin date by weekday
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date
visualize bar select date , count ( date ) from weather bin date by year
visualize bar select date , count ( date ) from weather bin date by year
visualize bar select date , count ( date ) from weather bin date by year
visualize bar select date , count ( date ) from weather bin date by year
visualize bar select date , sum ( cloud_cover ) from weather bin date by year
visualize bar select date , sum ( cloud_cover ) from weather bin date by year
visualize bar select date , sum ( cloud_cover ) from weather bin date by year
visualize bar select date , sum ( cloud_cover ) from weather bin date by year
visualize bar select date , avg ( cloud_cover ) from weather bin date by year
visualize bar select date , avg ( cloud_cover ) from weather bin date by year
visualize bar select date , avg ( cloud_cover ) from weather bin date by year
visualize bar select date , avg ( cloud_cover ) from weather bin date by year
visualize bar select date , count ( date ) from weather bin date by weekday
visualize bar select date , count ( date ) from weather bin date by weekday
visualize bar select date , count ( date ) from weather bin date by weekday
visualize bar select date , count ( date ) from weather bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} order by count ( date ) desc bin date by weekday
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f >= {value} group by date order by date desc
visualize bar select city , max ( lat ) from station group by city order by city asc
visualize bar select city , max ( lat ) from station group by city order by city asc
visualize bar select city , max ( lat ) from station group by city order by city asc
visualize bar select city , max ( lat ) from station group by city order by city desc
visualize bar select city , max ( lat ) from station group by city order by city desc
visualize bar select city , max ( lat ) from station group by city order by city desc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) asc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) asc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) asc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) desc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) desc
visualize bar select city , max ( lat ) from station group by city order by max ( lat ) desc
visualize bar select start_station_name , start_station_id from trip order by start_station_name asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select start_station_name , start_station_id from trip order by start_station_id asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} order by count ( date ) desc bin date by weekday
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date asc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date order by date desc
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by year
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by weekday
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by weekday
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by weekday
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by weekday
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by weekday
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) desc bin installation_date by weekday
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date asc
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date asc
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date asc
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date desc
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date desc
visualize line select installation_date , count ( installation_date ) from station group by installation_date order by installation_date desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id asc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by id desc
visualize bar select long , count ( long ) from station order by count ( long ) asc bin long by zero
visualize bar select long , count ( long ) from station order by count ( long ) asc bin long by zero
visualize bar select long , count ( long ) from station order by count ( long ) desc bin long by zero
visualize bar select long , count ( long ) from station order by count ( long ) desc bin long by zero
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by date asc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by date asc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by date desc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by date desc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by count ( date ) asc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by count ( date ) asc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by count ( date ) desc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) group by date order by count ( date ) desc
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) desc bin date by weekday
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city asc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by city desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) asc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select city , count ( * ) from station group by city order by count ( * ) desc
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) desc bin date by weekday
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by year
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by year
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by year
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by weekday
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) desc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by weekday
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) asc bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) desc bin date by year
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) asc bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) desc bin date by weekday
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) desc bin date by weekday
visualize scatter select height , weight from people
visualize scatter select height , weight from people
visualize scatter select height , weight from people
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select body_builder_id , people_id from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select clean_jerk , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select snatch , total from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select body_builder_id , snatch from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select people_id , snatch from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select body_builder_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select people_id , total from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select body_builder_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select people_id , clean_jerk from body_builder
visualize scatter select snatch , clean_jerk from body_builder
