visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize line select year , avg ( attendance ) from home_game order by year desc bin year by year
visualize bar select team_name , school_id from basketball_match order by team_name desc
visualize bar select package_option , count ( package_option ) from tv_channel where id not in ( select channel from cartoon where directed_by = {value} ) group by package_option
visualize bar select location , avg ( number_of_platforms ) from station group by location order by location desc
visualize pie select industry , count ( * ) from companies group by industry
visualize bar select occupation , count ( * ) from player group by occupation order by count ( * ) asc
visualize bar select allergytype , count ( * ) from allergy_type group by allergytype order by count ( * ) desc
visualize pie select city , count ( * ) from employee group by city
visualize bar select customer_last_name , count ( * ) from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id order by customer_last_name asc
visualize bar select guest_first_name , count ( guest_first_name ) from apartment_bookings as t1 join guests as t2 on t1 . guest_id = t2 . guest_id group by guest_first_name
visualize bar select investor_details , count ( investor_details ) from investors group by investor_details order by count ( investor_details ) asc
visualize bar select hand , count ( * ) from players group by hand order by count ( * ) asc
visualize bar select hire_date , sum ( manager_id ) from employees where first_name like {value} or first_name like {value} order by sum ( manager_id ) asc bin hire_date by weekday
visualize bar select hire_date , sum ( department_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) bin hire_date by month
visualize pie select investor , count ( * ) from entrepreneur group by investor
visualize bar select first_name , count ( first_name ) from treatments as t1 join professionals as t2 on t1 . professional_id = t2 . professional_id group by first_name order by first_name desc
visualize bar select min ( t1 . duration ) , min ( t2 . rating ) from files as t1 join song as t2 on t1 . f_id = t2 . f_id group by min ( t1 . duration ) order by min ( t1 . duration ) desc
visualize bar select job_id , sum ( salary ) from employees where hire_date < {value} group by job_id order by sum ( salary ) asc
visualize bar select date_of_birth , height from people order by date_of_birth asc
visualize line select hire_date , salary from employees where first_name not like {value} order by hire_date desc
visualize bar select date_of_completion , count ( date_of_completion ) from student_course_enrolment as t1 join student_tests_taken as t2 on t1 . registration_id = t2 . registration_id where t2 . test_result = {value} order by count ( date_of_completion ) desc bin date_of_completion by month
visualize bar select name , code from products where price between {value} and {value} order by name desc
visualize bar select headquarter , count ( distinct t1 . name ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code order by headquarter asc
visualize bar select first_name , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct asc
visualize pie select all_road , acc_percent from basketball_match
visualize bar select rank , count ( * ) from captain where age < {value} group by rank
visualize bar select dept_name , min ( salary ) from instructor group by dept_name order by dept_name asc
visualize line select season , count ( season ) from game group by away_team order by season desc bin season by year
visualize bar select headquarters , count ( * ) from company group by headquarters order by count ( * ) desc
visualize bar select name , avg ( t1 . stars ) from rating as t1 join reviewer as t2 on t1 . rid = t2 . rid group by t2 . name order by avg ( t1 . stars ) asc
visualize pie select t1 . name , count ( t1 . name ) from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment where t3 . cost > {value} group by t1 . name
visualize pie select rank , count ( * ) from captain group by rank
visualize bar select hire_date , avg ( department_id ) from employees where employee_id not in ( select employee_id from job_history ) bin hire_date by month
visualize bar select stu_fname , count ( stu_fname ) from student as t1 join enroll as t2 on t1 . stu_num = t2 . stu_num where t2 . enroll_grade = {value} or t2 . enroll_grade = {value} group by stu_fname order by stu_fname desc
visualize bar select meter_700 , meter_100 from swimmer
visualize bar select job_id , sum ( manager_id ) from employees where hire_date < {value} group by job_id order by sum ( manager_id ) asc
visualize bar select grape , count ( grape ) from wine group by grape order by grape desc
visualize bar select acc_regular_season , team_id from basketball_match order by acc_regular_season desc
visualize bar select role_code , count ( * ) from users group by role_code order by count ( * ) desc
visualize bar select city , count ( * ) from employee group by city order by count ( * ) desc
visualize pie select name , elevation from airports where city = {value}
visualize bar select t1 . name , t1 . id from battle as t1 join ship as t2 on t1 . id = t2 . lost_in_battle join death as t3 on t2 . id = t3 . caused_by_ship_id order by t1 . id desc
visualize bar select date , avg ( price ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by date
visualize pie select part_name , count ( * ) from parts as t1 join asset_parts as t2 on t1 . part_id = t2 . part_id group by t1 . part_name
visualize bar select first_name , employee_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by employee_id asc
visualize bar select district , count ( district ) from phone_market as t1 join market as t2 on t1 . market_id = t2 . market_id join phone as t3 on t1 . phone_id = t3 . phone_id group by district order by count ( district ) asc
visualize bar select date_of_birth , weight from people
visualize bar select first_name , salary from employees order by salary asc
visualize scatter select team_id , all_games_percent from basketball_match group by acc_regular_season
visualize bar select last_name , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by department_id asc
visualize pie select competition_type , count ( competition_type ) from competition group by competition_type
visualize line select start_from , sum ( employee_id ) from hiring group by is_full_time bin start_from by year
visualize line select date_of_completion , count ( date_of_completion ) from student_course_enrolment group by date_of_completion order by date_of_completion asc
visualize bar select city , count ( city ) from branch group by city order by open_year
visualize bar select job_id , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by job_id asc
visualize bar select bedtype , count ( * ) from rooms group by bedtype order by count ( * ) asc
visualize line select hire_date , employee_id from employees where hire_date < {value} order by hire_date asc
visualize scatter select team_id , school_id from basketball_match group by acc_home
visualize bar select email , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct desc
visualize bar select course_name , count ( course_name ) from courses group by course_name order by count ( course_name ) asc
visualize bar select region_name , count ( * ) from region as t1 join affected_region as t2 on t1 . region_id = t2 . region_id group by t1 . region_id order by count ( * ) desc
visualize scatter select height , weight from people group by sex
visualize bar select acc_road , count ( acc_road ) from basketball_match group by acc_road order by count ( acc_road ) asc
visualize pie select name , count ( name ) from debate_people as t1 join debate as t2 on t1 . debate_id = t2 . debate_id join people as t3 on t1 . negative = t3 . people_id group by name
visualize bar select year , count ( year ) from races as t1 join results as t2 on t1 . raceid = t2 . raceid where t1 . year > {value} order by count ( year ) asc bin year by year
visualize bar select school_code , count ( * ) from department as t1 join professor as t2 on t1 . dept_code = t2 . dept_code group by t1 . school_code
visualize bar select t2 . name , avg ( t1 . price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name
visualize bar select all_home , team_id from basketball_match group by acc_home , all_home order by team_id desc
visualize line select date_account_opened , count ( date_account_opened ) from accounts order by date_account_opened asc bin date_account_opened by year
visualize bar select meter_200 , sum ( id ) from swimmer group by meter_200
visualize bar select publisher , count ( * ) from publication group by publisher order by count ( * ) desc
visualize bar select t2 . founder , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . founder order by t1 . code desc
visualize bar select date , count ( date ) from weather where max_temperature_f >= {value} bin date by weekday
visualize bar select director , min ( t1 . stars ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid group by director order by director asc
visualize bar select hire_date , count ( hire_date ) from employees where employee_id not in ( select employee_id from job_history ) order by count ( hire_date ) desc bin hire_date by month
visualize bar select sex , count ( * ) from faculty group by sex
visualize pie select team_name , acc_percent from basketball_match
visualize bar select payment_method_code , count ( * ) from customer_payments group by payment_method_code order by count ( * ) asc
visualize bar select job_id , sum ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( employee_id ) desc
visualize bar select investor , count ( * ) from entrepreneur group by investor
visualize bar select state , min ( enr ) from college group by state order by min ( enr ) asc
visualize line select hire_date , manager_id from employees where employee_id not in ( select employee_id from job_history ) order by hire_date desc
visualize bar select package_option , count ( package_option ) from tv_channel where id not in ( select channel from cartoon where directed_by = {value} ) group by package_option order by package_option desc
visualize bar select customer_last_name , count ( customer_last_name ) from customers group by customer_last_name order by customer_last_name desc
visualize bar select country , avg ( age ) from artist group by country order by avg ( age ) desc
visualize bar select outcome_description , count ( outcome_description ) from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code group by outcome_description order by outcome_description desc
visualize bar select dept_code , sum ( stu_hrs ) from student group by dept_code order by dept_code desc
visualize bar select name , count ( name ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by name order by name asc
visualize bar select founder , avg ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by avg ( price ) desc
visualize bar select active_from_date , count ( active_from_date ) from customers as t1 join customer_contact_channels as t2 on t1 . customer_id = t2 . customer_id where t2 . channel_code = {value} group by customer_name order by count ( active_from_date ) desc bin active_from_date by weekday
visualize bar select team_name , acc_percent from basketball_match order by acc_percent asc
visualize bar select customer_last_name , count ( customer_last_name ) from customers as t1 join accounts as t2 on t1 . customer_id = t2 . customer_id group by customer_last_name
visualize pie select carrier , count ( * ) from phone group by carrier
visualize pie select name , manufacturer from products where price between {value} and {value}
visualize bar select transaction_type , sum ( transaction_amount ) from financial_transactions group by transaction_type order by sum ( transaction_amount ) desc
visualize bar select crs_code , count ( crs_code ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num group by crs_code order by crs_code desc
visualize bar select t1 . name , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder , t1 . name order by t1 . name asc
visualize bar select card_type_code , count ( * ) from financial_transactions as t1 join customers_cards as t2 on t1 . card_id = t2 . card_id group by t2 . card_type_code
visualize bar select outcome_description , count ( outcome_description ) from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code group by outcome_description order by count ( outcome_description ) asc
visualize bar select t2 . name , sum ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name order by sum ( count ( * ) ) asc
visualize bar select dept_code , sum ( t1 . crs_credit ) from course as t1 join class as t2 on t1 . crs_code = t2 . crs_code group by t1 . dept_code order by sum ( t1 . crs_credit ) desc
visualize bar select crs_description , count ( crs_description ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num join course as t3 on t1 . crs_code = t3 . crs_code join professor as t4 on t2 . emp_num = t4 . emp_num group by prof_office , crs_description order by count ( crs_description ) asc
visualize bar select t1 . name , count ( * ) from physician as t1 join patient as t2 on t1 . employeeid = t2 . pcp group by t1 . employeeid order by t1 . name desc
visualize scatter select commission_pct , department_id from employees where first_name like {value} or first_name like {value}
visualize pie select job , avg ( age ) from person group by job
visualize bar select network_name , count ( * ) from station as t1 join route as t2 on t1 . id = t2 . station_id group by t2 . station_id
visualize bar select hire_date , sum ( salary ) from employees where employee_id not in ( select employee_id from job_history ) bin hire_date by month
visualize bar select type , count ( type ) from ship group by nationality , type order by count ( type ) asc
visualize bar select manager_name , count ( manager_name ) from gas_station group by manager_name order by count ( manager_name ) asc
visualize bar select dept_code , sum ( stu_hrs ) from student group by dept_code order by dept_code desc
visualize line select start_from , avg ( employee_id ) from hiring order by start_from desc bin start_from by year
visualize bar select t1 . name , t1 . id from mountain as t1 join photos as t2 on t1 . id = t2 . mountain_id order by t1 . id asc
visualize bar select job_id , avg ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by avg ( department_id ) desc
visualize bar select flag , count ( * ) from ship group by flag order by count ( * ) asc
visualize bar select hire_date , sum ( employee_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by month
visualize bar select bedtype , avg ( baseprice ) from rooms group by bedtype order by avg ( baseprice ) asc
visualize bar select last_name , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select hire_date , avg ( department_id ) from employees where hire_date < {value} bin hire_date by month
visualize bar select formats , count ( * ) from files group by formats order by formats desc
visualize bar select job_id , count ( job_id ) from employees as t1 join departments as t2 on t1 . department_id = t2 . department_id where t2 . department_name = {value} group by job_id order by job_id asc
visualize bar select meter_200 , avg ( id ) from swimmer group by meter_200
visualize bar select countryname , countryid from countries as t1 join car_makers as t2 on t1 . countryid = t2 . country
visualize pie select dept_code , sum ( crs_credit ) from course group by dept_code
visualize bar select team , count ( * ) from elimination group by team order by count ( * ) asc
visualize bar select product_category_description , count ( product_category_description ) from ref_product_categories as t1 join products as t2 on t1 . product_category_code = t2 . product_category_code where t2 . product_description like {value} group by product_category_description order by product_category_description asc
visualize bar select manager_name , count ( manager_name ) from gas_station group by manager_name order by count ( manager_name ) desc
visualize bar select all_home , avg ( team_id ) from basketball_match group by all_home order by avg ( team_id ) desc
visualize bar select job_id , sum ( department_id ) from employees where hire_date < {value} group by job_id order by sum ( department_id ) asc
visualize bar select name , count ( name ) from journal_committee as t1 join editor as t2 on t1 . editor_id = t2 . editor_id join journal as t3 on t1 . journal_id = t3 . journal_id where t3 . sales > {value} group by name order by name asc
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name desc
visualize pie select job , min ( age ) from person group by job
visualize scatter select count ( * ) , t1 . maintenance_contract_id from maintenance_contracts as t1 join assets as t2 on t1 . maintenance_contract_id = t2 . maintenance_contract_id group by t1 . maintenance_contract_id
visualize bar select phone_number , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by phone_number desc
visualize scatter select advisor , count ( * ) from student group by advisor
visualize bar select acc_regular_season , all_games_percent from basketball_match order by all_games_percent asc
visualize bar select t2 . name , count ( * ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name asc
visualize bar select time , id from swimmer order by time desc
visualize bar select job_id , sum ( salary ) from employees where first_name like {value} or first_name like {value} group by job_id order by sum ( salary ) desc
visualize bar select headquartered_city , count ( * ) from store as t1 join store_district as t2 on t1 . store_id = t2 . store_id join district as t3 on t2 . district_id = t3 . district_id group by t3 . headquartered_city order by headquartered_city asc
visualize bar select name , total_passengers from station where location != {value} order by name asc
visualize line select hire_date , manager_id from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by hire_date asc
visualize bar select hire_date , sum ( department_id ) from employees where employee_id not in ( select employee_id from job_history ) bin hire_date by month
visualize bar select t3 . festival_name , t1 . festival_id from nomination as t1 join artwork as t2 on t1 . artwork_id = t2 . artwork_id join festival_detail as t3 on t1 . festival_id = t3 . festival_id order by t3 . festival_name asc
visualize bar select skill_description , count ( skill_description ) from part_faults as t1 join skills_required_to_fix as t2 on t1 . part_fault_id = t2 . part_fault_id join skills as t3 on t2 . skill_id = t3 . skill_id group by fault_short_name , skill_description order by count ( skill_description ) asc
visualize pie select booking_status_code , count ( * ) from apartment_bookings group by booking_status_code
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter order by t1 . code asc
visualize bar select type , sum ( enrollment ) from institution group by type order by sum ( enrollment ) asc
visualize bar select dept_name , min ( salary ) from instructor group by dept_name order by dept_name asc
visualize bar select address , num_of_staff from shop where shop_id not in ( select shop_id from happy_hour ) order by address desc
visualize scatter select employee_id , department_id from employees where employee_id not in ( select employee_id from job_history )
visualize pie select document_type_description , count ( document_type_description ) from ref_document_types group by document_type_description
visualize bar select location , sum ( number_of_platforms ) from station group by location order by sum ( number_of_platforms ) desc
visualize bar select all_home , avg ( team_id ) from basketball_match group by all_home order by all_home asc
visualize bar select date_in_locaton_to , count ( date_in_locaton_to ) from document_locations bin date_in_locaton_to by weekday
visualize bar select allergytype , count ( allergytype ) from allergy_type group by allergytype order by allergytype desc
visualize bar select order_date , count ( order_date ) from customer_orders as t1 join order_items as t2 on t1 . order_id = t2 . order_id join products as t3 on t2 . product_id = t3 . product_id where t3 . product_price > {value} bin order_date by weekday
visualize bar select date_departed , count ( date_departed ) from dogs group by date_departed order by date_departed desc
visualize bar select cname , min ( enr ) from college group by state order by cname desc
visualize bar select hire_date , sum ( employee_id ) from employees where hire_date < {value} order by sum ( employee_id ) asc bin hire_date by weekday
visualize bar select crs_code , count ( * ) from class group by crs_code order by crs_code asc
visualize scatter select t1 . code , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder
visualize bar select document_type_code , count ( * ) from documents group by document_type_code
visualize bar select city_code , count ( * ) from student group by city_code order by city_code asc
visualize bar select date_became_customer , count ( date_became_customer ) from customers where customer_id between {value} and {value} bin date_became_customer by month
visualize bar select t2 . name , sum ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name
visualize bar select meter_400 , meter_100 from swimmer order by meter_400 asc
visualize bar select t2 . organisation_details , t1 . organisation_id from grants as t1 join organisations as t2 on t1 . organisation_id = t2 . organisation_id group by t2 . organisation_details order by t2 . organisation_details asc
visualize scatter select customer_id , count ( * ) from accounts group by customer_id
visualize bar select location , circuitid from circuits where country = {value} or country = {value} order by circuitid asc
visualize bar select directed_by , count ( * ) from film group by directed_by
visualize bar select type , count ( type ) from ship group by type
visualize bar select participant_details , participant_id from participants order by participant_id desc
visualize bar select hire_date , avg ( salary ) from employees where employee_id not in ( select employee_id from job_history ) order by avg ( salary ) asc bin hire_date by weekday
visualize bar select title , count ( title ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by title order by title desc
visualize bar select t1 . allergy , count ( t1 . allergy ) from allergy_type as t1 join has_allergy as t2 on t1 . allergy = t2 . allergy join student as t3 on t3 . stuid = t2 . stuid where t3 . fname = {value} group by t1 . allergy
visualize bar select booking_start_date , count ( booking_start_date ) from apartment_bookings as t1 join guests as t2 on t1 . guest_id = t2 . guest_id order by count ( booking_start_date ) asc bin booking_start_date by weekday
visualize bar select sex , avg ( weight ) from people group by sex
visualize pie select sex , count ( * ) from employee where salary < {value} group by sex
visualize bar select rank , count ( * ) from captain where age < {value} group by rank
visualize bar select class , avg ( age ) from captain group by class
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter order by t2 . headquarter asc
visualize bar select t1 . name , t2 . height from climber as t1 join mountain as t2 on t1 . mountain_id = t2 . mountain_id order by t2 . height asc
visualize bar select name , sum ( t1 . show_times_per_day ) from schedule as t1 join cinema as t2 on t1 . cinema_id = t2 . cinema_id group by t1 . cinema_id
visualize bar select publisher , count ( * ) from publication group by publisher order by count ( * ) asc
visualize bar select service_type_description , count ( service_type_description ) from ref_service_types as t1 join services as t2 on t1 . service_type_code = t2 . service_type_code where t2 . product_price > {value} group by service_type_description order by service_type_description asc
visualize bar select customer_details , count ( customer_details ) from customers group by customer_details order by count ( customer_details ) asc
visualize bar select t1 . name , t1 . age from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t1 . age > ( select avg ( age ) from person ) order by t1 . name asc
visualize bar select meter_200 , count ( meter_200 ) from swimmer group by meter_200 order by meter_200 desc
visualize bar select size_code , count ( size_code ) from owners as t1 join dogs as t2 on t1 . owner_id = t2 . owner_id group by size_code order by count ( size_code ) desc
visualize bar select t1 . name , t2 . height from climber as t1 join mountain as t2 on t1 . mountain_id = t2 . mountain_id order by t2 . height desc
visualize bar select name , avg ( t1 . stars ) from rating as t1 join reviewer as t2 on t1 . rid = t2 . rid group by t2 . name order by avg ( t1 . stars ) desc
visualize pie select origin , count ( origin ) from flight group by origin
visualize scatter select t1 . price , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize bar select job_id , avg ( manager_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by avg ( manager_id ) asc
visualize bar select document_type_code , count ( * ) from documents group by document_type_code order by document_type_code asc
visualize bar select location , count ( location ) from wrestler group by location order by location desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name , t1 . name order by t1 . code desc
visualize bar select catalog_entry_name , count ( catalog_entry_name ) from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1 . catalog_entry_id = t2 . catalog_entry_id where t2 . catalog_level_number = {value} group by catalog_entry_name order by count ( catalog_entry_name ) asc
visualize bar select start_station_name , start_station_id from trip order by start_station_name desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder , t1 . name
visualize bar select hire_date , sum ( manager_id ) from employees where hire_date < {value} order by sum ( manager_id ) desc bin hire_date by month
visualize bar select product_name , count ( product_name ) from products group by product_name
visualize bar select package_option , count ( package_option ) from tv_channel where id not in ( select channel from cartoon where directed_by = {value} ) group by package_option order by package_option desc
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter order by t1 . code desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . code desc
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select other_details , resident_id from residents order by resident_id desc
visualize pie select name , count ( name ) from course_arrange as t1 join course as t2 on t1 . course_id = t2 . course_id join teacher as t3 on t1 . teacher_id = t3 . teacher_id group by name
visualize bar select emp_fname , count ( emp_fname ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num join course as t3 on t1 . crs_code = t3 . crs_code join professor as t4 on t2 . emp_num = t4 . emp_num group by crs_description , emp_fname order by emp_fname desc
visualize bar select t1 . name , max ( t1 . price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by name asc
visualize pie select type , count ( * ) from ship group by type
visualize scatter select t1 . staff_id , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = {value}
visualize bar select network_name , count ( * ) from station as t1 join route as t2 on t1 . id = t2 . station_id group by t2 . station_id order by count ( * ) asc
visualize scatter select team_id , all_games_percent from basketball_match group by all_games
visualize bar select time , meter_100 from swimmer order by time desc
visualize scatter select team_id , all_games_percent from basketball_match group by all_road
visualize bar select email , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by email asc
visualize bar select meter_200 , count ( meter_200 ) from swimmer group by meter_200 order by meter_200 asc
visualize bar select sex , max ( age ) from student group by sex order by sex desc
visualize bar select start_from , count ( start_from ) from hiring order by count ( start_from ) desc bin start_from by weekday
visualize bar select dept_code , sum ( t1 . crs_credit ) from course as t1 join class as t2 on t1 . crs_code = t2 . crs_code group by t1 . dept_code order by sum ( t1 . crs_credit ) asc
visualize pie select name , count ( * ) from exhibition as t1 join artist as t2 on t1 . artist_id = t2 . artist_id group by t1 . artist_id
visualize bar select name , age from singer order by age desc
visualize bar select type , avg ( tonnage ) from ship group by type order by avg ( tonnage ) asc
visualize line select hire_date , salary from employees where hire_date < {value} order by hire_date desc
visualize bar select other_account_details , count ( other_account_details ) from accounts group by other_account_details order by other_account_details asc
visualize pie select building , count ( * ) from faculty group by building
visualize bar select hire_date , avg ( department_id ) from employees where hire_date < {value} bin hire_date by month
visualize bar select date_incident_start , count ( date_incident_start ) from behavior_incident where incident_type_code = {value} order by count ( date_incident_start ) asc bin date_incident_start by weekday
visualize bar select treatment_type_description , sum ( cost_of_treatment ) from treatments as t1 join treatment_types as t2 on t1 . treatment_type_code = t2 . treatment_type_code group by treatment_type_description order by treatment_type_description desc
visualize scatter select school_id , all_games_percent from basketball_match group by all_road
visualize pie select work_type , avg ( years_working ) from journalist as t1 join news_report as t2 on t1 . journalist_id = t2 . journalist_id group by t2 . work_type
visualize bar select name , num_of_component from furniture where num_of_component > {value} order by num_of_component asc
visualize bar select hire_date , avg ( manager_id ) from employees where first_name like {value} or first_name like {value} order by avg ( manager_id ) asc bin hire_date by weekday
visualize bar select headquarters , count ( headquarters ) from company group by headquarters order by headquarters desc
visualize bar select all_road , school_id from basketball_match order by all_road desc
visualize bar select hire_date , sum ( department_id ) from employees where first_name like {value} or first_name like {value} order by sum ( department_id ) desc bin hire_date by month
visualize line select hire_date , salary from employees where first_name like {value} or first_name like {value}
visualize bar select founder , avg ( revenue ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by founder desc
visualize bar select name , sum ( grade ) from highschooler group by name
visualize bar select school_code , count ( distinct dept_name ) from department order by school_code asc
visualize bar select date_departed , count ( date_departed ) from dogs group by date_departed order by date_departed asc
visualize bar select acc_regular_season , team_id from basketball_match order by acc_regular_season desc
visualize bar select transaction_type , count ( * ) from financial_transactions group by transaction_type order by transaction_type desc
visualize bar select county , count ( county ) from appellations group by county
visualize bar select headquarter , sum ( revenue ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter
visualize bar select hometown , count ( hometown ) from member group by hometown
visualize scatter select price , manufacturer from products where price between {value} and {value} group by name
visualize bar select t2 . name , sum ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name
visualize bar select job_id , sum ( employee_id ) from employees where hire_date < {value} group by job_id order by sum ( employee_id ) asc
visualize bar select last_name , manager_id from employees order by manager_id asc
visualize bar select class_room , count ( * ) from class group by class_room order by count ( * ) asc
visualize bar select date_from , count ( date_from ) from customer_address_history as t1 join customers as t2 on t1 . customer_id = t2 . customer_id join addresses as t3 on t1 . address_id = t3 . address_id bin date_from by weekday
visualize bar select hire_date , sum ( manager_id ) from employees where first_name like {value} or first_name like {value} bin hire_date by weekday
visualize bar select hire_date , avg ( employee_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( employee_id ) desc bin hire_date by weekday
visualize bar select date_of_birth , weight from people order by date_of_birth asc
visualize bar select hire_date , sum ( employee_id ) from employees where hire_date < {value} bin hire_date by weekday
visualize bar select builder , count ( * ) from railway group by builder order by count ( * ) asc
visualize bar select location , circuitid from circuits where country = {value} or country = {value}
visualize bar select date , count ( date ) from weather where min_dew_point_f < ( select min ( min_dew_point_f ) from weather where zip_code = {value} ) order by count ( date ) desc bin date by year
visualize scatter select employee_id , commission_pct from employees where employee_id not in ( select employee_id from job_history )
visualize bar select county , sum ( enrollment ) from school group by county order by sum ( enrollment ) asc
visualize bar select district_name , city_population from district where city_population between {value} and {value} order by city_population desc
visualize bar select type , avg ( tonnage ) from ship group by type order by type desc
visualize bar select t1 . cell_number , t1 . professional_id from professionals as t1 join treatments as t2 on t1 . professional_id = t2 . professional_id
visualize bar select building , count ( building ) from department where budget > ( select avg ( budget ) from department ) group by building order by building desc
visualize bar select district_name , city_population from district where city_population between {value} and {value} order by city_population asc
visualize bar select committee , count ( committee ) from election as t1 join party as t2 on t1 . party = t2 . party_id where t2 . party = {value} group by committee order by committee desc
visualize scatter select employee_id , commission_pct from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value}
visualize bar select name , weight from dogs where abandoned_yn = {value} order by weight desc
visualize bar select name , height_feet from building as t1 join institution as t2 on t1 . building_id = t2 . building_id where t2 . founded > {value} order by height_feet desc
visualize bar select governor , count ( governor ) from election as t1 join party as t2 on t1 . party = t2 . party_id where t1 . district = {value} group by governor order by count ( governor ) asc
visualize bar select hire_date , sum ( employee_id ) from employees where first_name like {value} or first_name like {value} order by sum ( employee_id ) asc bin hire_date by weekday
visualize bar select first_name , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by first_name desc
visualize bar select template_type_code , count ( * ) from templates group by template_type_code order by count ( * ) desc
visualize bar select name , count ( * ) from hiring as t1 join shop as t2 on t1 . shop_id = t2 . shop_id group by t2 . name order by name desc
visualize pie select city , count ( city ) from branch group by city
visualize bar select booking_start_date , count ( booking_start_date ) from apartment_bookings as t1 join apartments as t2 on t1 . apt_id = t2 . apt_id order by count ( booking_start_date ) asc bin booking_start_date by year
visualize bar select gender , sum ( student_capacity ) from dorm group by gender order by sum ( student_capacity ) asc
